_id,path,sentence,api_sentence,time,location,sex,compare,wer_autosub_whisper,visitted,gold_sentence,labeled,humman,date_labeld
658be3fb9fd2e0dfa7024f3c,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_62200_68550.wav,Từ già trẻ lớn bé một đứa trẻ con mới đẻ ra 1 2 3 4 tuổi chỉ cần mọc tóc thôi là tóc nó đã là màu trắng rồi các bạn,"từ già, trẻ, lớn, bé. Một đứa trẻ con mới đẻ ra 1, 2, 3, 4 tuổi chỉ cần mọc tóc thôi là tóc nó đã là màu trắng rồi các bạn.",6.35,nam,nu,true,0,true,Từ già trẻ lớn bé một đứa trẻ con mới đẻ ra 1 2 3 4 tuổi chỉ cần mọc tóc thôi là tóc nó đã là màu trắng rồi các bạn,true,openAI/whisper,
658be43c9fd2e0dfa7024f5f,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_205312_209152.wav,Những chuyến hàng từ làng địa ngục đi xuống dưới xuôi được chia làm 3 đợt mỗi tháng,Những chuyến hàng từ làng địa ngục đi xuống dưới xuôi được chia làm 3 đợt mỗi tháng.,3.84,nam,nu,true,0,true,Những chuyến hàng từ làng địa ngục đi xuống dưới xuôi được chia làm 3 đợt mỗi tháng,true,openAI/whisper,
658be5fc9fd2e0dfa702508a,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_1153535_1156095.wav,Tôi biết xem bói khi mới 12 tuổi,Tôi biết xem bói khi mới 12 tuổi.,2.56,nam,nu,true,0,true,Tôi biết xem bói khi mới 12 tuổi,true,openAI/whisper,
658be6029fd2e0dfa702508e,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_1166079_1168639.wav,Tôi năm nay cũng gần 80 tuổi rồi,Tôi năm nay cũng gần 80 tuổi rồi.,2.56,nam,nu,true,0,true,Tôi năm nay cũng gần 80 tuổi rồi,true,openAI/whisper,
658be66f9fd2e0dfa70250dd,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_1416192_1420800.wav,Khi tôi thành thạo các món nghề xem bói cũng là lúc tôi vừa tròn 12 tuổi,Khi tôi thành thảo các ngón nghề xem bói cũng là lúc tôi vừa tròn 12 tuổi.,4.608,nam,nu,false,0.11764705882352941,true,Khi tôi thành thạo các ngón nghề xem bói cũng là lúc tôi vừa tròn 12 tuổi.,true,minh,2023-12-28T15:56:55.309Z
658be6789fd2e0dfa70250e3,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_1438464_1442304.wav,Tôi sống với cha nuôi đến năm 20 tuổi thì xảy ra biến cố,Tôi sống với cha nuôi đến năm 20 tuổi thì xảy ra biến cố.,3.84,nam,nu,true,0,true,Tôi sống với cha nuôi đến năm 20 tuổi thì xảy ra biến cố,true,openAI/whisper,
658be7599fd2e0dfa7025189,audios/truyenma_nam_nu_2/truyenma_nam_nu_2.mp3_1939712_1945600.wav,Sau này người đời mới biết rằng nhà vua đã được báo mộng triệu lý chí tồn tại Đúng 8 đời vua,Sau này người đời mới biết rằng nhà vua đã được báo mộng triệu lý chỉ tồn tại đúng 8 đời vua.,5.888,nam,nam,false,0.045454545454545456,true,Sau này người đời mới biết rằng nhà vua đã được báo mộng triều lý chỉ tồn tại đúng 8 đời vua.,true,toan,2023-12-28T16:14:46.349Z
658be8e49fd2e0dfa7025280,audios/phandong_nam_nu/phandong_nam_nu.mp3_80896_83968.wav,Ngày 30 tháng 4 năm 1975,ngày 30 tháng 4 năm 1975.,3.072,nam,nu,true,0,true,Ngày 30 tháng 4 năm 1975,true,openAI/whisper,
658be8ff9fd2e0dfa7025297,audios/phandong_nam_nu/phandong_nam_nu.mp3_141824_143872.wav,Đầu thập niên năm 80,đầu thập niên năm 80.,2.048,nam,nu,true,0,true,Đầu thập niên năm 80,true,openAI/whisper,
658be9209fd2e0dfa70252b4,audios/phandong_nam_nu/phandong_nam_nu.mp3_211456_213760.wav,Rong rã gần 15 năm dài,rong rã gần 15 năm dài.,2.304,nam,nu,true,0,true,Rong rã gần 15 năm dài,true,openAI/whisper,
